X1	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X2	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X3	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X4	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X5	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X6	X60	X7	X8	X9
sq1	1985	6031	18133	1999	224	2725	689	10863	839	25497	844	71	14939	3150	8433	36	106	9059	394	5579	137	7477	6407	1582	12907	5392	9367	85	2604	91	4306	153	6651	312	233	6969	357	441	14102	1116	21	1556	194	2279	4029	381	8142	2625	27375	424	32484	11216	5221	5338	857	228	0	19311	948	22708
sq2	4754	338	1974	137	439	13458	816	20683	495	25530	412	281	4274	208	1386	52	350	18336	585	9424	189	5453	10959	664	13885	1358	6229	167	4820	365	10598	460	6481	478	281	12280	347	526	23220	1652	63	3638	179	5058	11322	153	6764	387	2700	182	8577	9762	4050	12459	346	375	0	9955	496	4436
sq3	1054	1176	5302	917	514	3754	649	3502	460	4893	582	167	1823	2227	5992	20	174	1842	231	1275	48	1359	2210	1448	8371	3908	10496	72	942	134	936	266	1480	473	797	6747	534	474	8373	222	17	455	23	652	2709	107	2817	345	1164	414	7131	4160	423	7451	28	516	0	2758	515	3144
sq4	2930	3	15	2	177	6978	404	10916	142	6187	39	182	51	2	1	134	333	15819	390	7254	78	4971	5443	98	1811	30	102	222	5793	273	7258	111	2773	211	96	4136	112	45	2518	4860	82	3660	163	4777	2684	33	1488	25	103	1	89	704	1377	3006	93	98	0	68	9	9
sq5	1212	20	59	3	100	3710	307	8158	194	9110	89	40	437	15	92	50	252	13336	487	7661	179	5696	3240	89	1153	11	32	83	2869	272	7131	294	4186	107	83	2260	32	7	663	2250	55	2576	103	4062	3840	103	4502	29	256	6	97	1957	2251	947	391	123	0	547	29	264
sq6	5	9555	3059	9654	626	18	1349	24	479	63	1370	308	171	7303	1229	30	607	17	898	35	352	12	16	4344	231	12975	750	175	26	303	20	954	15	469	857	63	1115	2362	1732	13	126	35	743	80	20	1160	402	4938	10129	2483	8233	46	813	19	207	805	0	20	2211	353
sq7	598	193	1217	56	30	1712	95	5936	128	9316	99	29	3764	139	797	9	69	4281	157	4158	91	3057	1876	191	4689	194	972	41	783	64	3787	102	3028	83	45	2480	69	117	3797	173	27	809	85	1566	2730	117	4672	95	2537	13	1248	6804	1243	2957	144	58	0	5688	115	3317
sq8	10	1191	3	26	231	47	2620	72	674	219	6934	62	464	33	85	29	577	71	1864	107	709	48	42	12193	71	10789	100	117	20	357	110	6353	106	367	5952	41	1602	589	326	5	264	121	718	134	65	4371	1699	6663	8801	671	695	107	951	7	84	1455	0	78	4288	10
sq9	267	1	0	3	2653	755	7642	2050	2871	2725	3505	2085	44	1	45	338	4038	1234	8076	1914	2139	712	945	1068	468	0	8	249	956	4582	988	5025	789	4260	1857	1064	2045	16	770	232	256	1111	248	2612	1677	62	1350	1	3	4	1	952	0	1383	101	4206	0	282	2527	1
sq10	304	5397	4351	2808	367	595	943	936	206	1475	340	300	876	2833	1842	51	300	601	467	841	191	358	516	2704	1633	9922	2575	69	135	112	559	212	441	355	382	997	548	949	2620	35	34	116	405	421	235	864	646	3809	3940	1667	6446	295	175	172	99	208	0	626	960	2473
