Kingdom	Phylum	Class	Order	Family	Genus
sq1	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	Clade_I	Clade_Ia
sq2	Bacteria	Proteobacteria	Gammaproteobacteria	Thiomicrospirales	Thioglobaceae	SUP05_cluster
sq3	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Nitrincolaceae	NA
sq4	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus_Nitrosopumilus
sq5	Bacteria	Proteobacteria	Gammaproteobacteria	Thiomicrospirales	Thioglobaceae	SUP05_cluster
sq6	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Ulvibacter
sq7	Bacteria	Proteobacteria	Gammaproteobacteria	SAR86_clade	NA	NA
sq8	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Luteolibacter
sq9	Archaea	Euryarchaeota	Thermoplasmata	Marine_Group_II	NA	NA
sq10	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Polaribacter_1
sq11	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Luteolibacter
sq12	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Aurantivirga
sq13	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Formosa
sq14	Bacteria	Proteobacteria	Alphaproteobacteria	Parvibaculales	OCS116_clade	NA
sq15	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus_Nitrosopumilus
sq16	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Roseibacillus
sq17	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NA
sq18	Bacteria	Proteobacteria	Gammaproteobacteria	Nitrosococcales	Methylophagaceae	NA
sq19	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	OM60(NOR5)_clade
sq20	Archaea	Euryarchaeota	Thermoplasmata	Marine_Group_II	NA	NA
sq21	Bacteria	Verrucomicrobia	Verrucomicrobiae	Arctic97B-4_marine_group	NA	NA
sq22	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ascidiaceihabitans
sq23	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus_Nitrosopumilus
sq24	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	NS9_marine_group	NA
sq25	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Polaribacter_1
sq26	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	Clade_I	Clade_Ia
