	Sample_ID	Gear	Event_ID	StationName	Depth	Replicate	FractionSize	Community	SelRep
X1	7001	CTD	PS107_10	T1	400	A	5	PA	
X2	7002	CTD	PS107_10	T1	400	A	0.22	FL	
X3	7003	CTD	PS107_10	T1	400	B	5	PA	1
X4	7004	CTD	PS107_10	T1	400	B	0.22	FL	1
X5	7005	CTD	PS107_10	T1	200	A	5	PA	
X6	7007	CTD	PS107_10	T1	200	B	5	PA	1
X7	7008	CTD	PS107_10	T1	200	B	0.22	FL	1
X8	7009	CTD	PS107_10	T1	100	A	5	PA	1
X9	7010	CTD	PS107_10	T1	100	A	0.22	FL	1
X10	7013	CTD	PS107_10	T1	50	A	5	PA	1
X11	7014	CTD	PS107_10	T1	50	A	0.22	FL	1
X12	7017	CTD	PS107_10	T1	20	A	5	PA	1
X13	7018	CTD	PS107_10	T1	20	A	0.22	FL	1
X14	7023	CTD	PS107_10	T1	10	B	5	PA	1
X15	7024	CTD	PS107_10	T1	10	B	0.22	FL	1
X16	7025	Snow catcher	PS107_10	T1	100	A	5	PA	1
X17	7026	Snow catcher	PS107_10	T1	100	A	0.22	FL	1
X18	7029	CTD	PS107_12	T2	400	A	5	PA	1
X19	7030	CTD	PS107_12	T2	400	A	0.22	FL	1
X20	7033	CTD	PS107_12	T2	200	A	5	PA	1
X21	7034	CTD	PS107_12	T2	200	A	0.22	FL	1
X22	7038	CTD	PS107_12	T2	100	A	0.22	FL	
X23	7039	CTD	PS107_12	T2	100	B	5	PA	1
X24	7040	CTD	PS107_12	T2	100	B	0.22	FL	1
X25	7041	CTD	PS107_12	T2	50	A	5	PA	1
X26	7046	CTD	PS107_12	T2	30	A	0.22	FL	1
X27	7049	CTD	PS107_12	T2	10	A	5	PA	1
X28	7050	CTD	PS107_12	T2	10	A	0.22	FL	1
X29	7053	CTD	PS107_14	T3	400	A	5	PA	1
X30	7055	CTD	PS107_14	T3	400	B	5	PA	
X31	7057	CTD	PS107_14	T3	200	A	5	PA	1
X32	7058	CTD	PS107_14	T3	200	A	0.22	FL	1
X33	7061	CTD	PS107_14	T3	100	A	5	PA	1
X34	7062	CTD	PS107_14	T3	100	A	0.22	FL	1
X35	7065	CTD	PS107_14	T3	50	A	5	PA	
X36	7067	CTD	PS107_14	T3	50	B	5	PA	1
X37	7068	CTD	PS107_14	T3	50	B	0.22	FL	1
X38	7069	CTD	PS107_14	T3	30	A	5	PA	1
X39	7070	CTD	PS107_14	T3	30	A	0.22	FL	1
X40	7073	CTD	PS107_14	T3	10	A	5	PA	1
X41	7074	CTD	PS107_14	T3	10	A	0.22	FL	1
X42	7077	Snow catcher	PS107_14	T3	100	A	3	PA	1
X43	7078	Snow catcher	PS107_14	T3	100	A	0.22	FL	1
X44	7082	CTD	PS107_16	T4	400	A	0.22	FL	
X45	7083	CTD	PS107_16	T4	400	B	3	PA	1
X46	7084	CTD	PS107_16	T4	400	B	0.22	FL	1
X47	7085	CTD	PS107_16	T4	200	A	5	PA	1
X48	7086	CTD	PS107_16	T4	200	A	0.22	FL	1
X49	7089	CTD	PS107_16	T4	100	A	5	PA	1
X50	7090	CTD	PS107_16	T4	100	A	0.22	FL	1
X51	7093	CTD	PS107_16	T4	50	A	5	PA	1
X52	7094	CTD	PS107_16	T4	50	A	0.22	FL	1
X53	7097	CTD	PS107_16	T4	30	A	5	PA	1
X54	7099	CTD	PS107_16	T4	30	B	3	PA	
X55	7101	CTD	PS107_16	T4	10	A	3	PA	1
X56	7102	CTD	PS107_16	T4	10	A	0.22	FL	1
X57	7105	Snow catcher	PS107_16	T4	100	A	3	PA	1
X58	7106	Snow catcher	PS107_16	T4	100	A	0.22	FL	1
X59	7110	CTD	PS107_18	T5	400	A	0.22	FL	
X60	7112	CTD	PS107_18	T5	400	B	0.22	FL	1
X61	7113	CTD	PS107_18	T5	200	A	3	PA	1
X62	7114	CTD	PS107_18	T5	200	A	0.22	FL	1
X63	7117	CTD	PS107_18	T5	100	A	3	PA	1
X64	7118	CTD	PS107_18	T5	100	A	0.22	FL	1
X65	7121	CTD	PS107_18	T5	50	A	3	PA	1
X66	7122	CTD	PS107_18	T5	50	A	0.22	FL	1
X67	7125	CTD	PS107_18	T5	25	A	3	PA	1
X68	7126	CTD	PS107_18	T5	25	A	0.22	FL	1
X69	7129	CTD	PS107_18	T5	10	A	3	PA	1
X70	7130	CTD	PS107_18	T5	10	A	0.22	FL	1
X71	neg1	neg	neg	neg	neg	neg	neg	neg	
X72	neg2	neg	neg	neg	neg	neg	neg	neg	
X73	neg3	neg	neg	neg	neg	neg	neg	neg	
