X1	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X2	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X3	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X4	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X5	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X6	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X7	X70	X71	X72	X73	X8	X9
sq1	39	19192	947	22560	6000	18007	1982	4448	591	223	2710	1987	686	10797	11807	832	25338	842	14831	3133	8375	36	1976	33	106	9007	392	5534	154	137	7413	1570	12825	72	5361	9307	1934	2424	1002	83	2581	90	4270	152	5159	6601	233	6927	354	150	440	14011	1274	6460	1221	6368	1108	21	1545	192	2264	377	8084	2603	27182	424	309	32248	5	5	1	4011	227
sq2	71	9818	488	4386	335	1946	137	12060	993	435	13295	9571	805	20416	20549	490	25211	406	4205	205	1368	53	4695	75	346	18118	574	9283	191	186	5388	657	13725	281	1344	6149	1110	4957	3750	166	4763	360	10438	454	17055	6381	276	12144	344	448	517	22936	468	5134	2218	10809	1632	62	3596	178	5011	152	6672	382	2672	178	475	8486	3	5	0	11189	373
sq3	79	567	22	10	3	25	4	12169	722	323	14314	9315	976	25570	26878	651	31543	119	168	6	13	118	6313	183	374	19404	727	11933	223	199	14156	113	2267	248	20	56	1808	6945	3544	214	5660	324	9861	402	18475	11256	94	4256	123	105	20	1891	583	4218	3130	15440	2153	85	3911	253	7406	153	9181	11	104	0	447	38	4	6	1	14774	392
sq4	33	66	9	8	3	14	2	1268	79	172	6706	4132	393	10425	5060	138	5941	38	51	2	1	130	2810	166	323	15209	374	6936	74	74	4739	94	1745	174	30	100	1023	4294	3479	213	5549	263	6940	108	6322	2671	92	3942	109	90	45	2439	132	1340	6417	5221	4667	81	3533	150	4581	32	1432	25	99	1	197	84	0	6	0	2581	95
sq5	169	2736	512	3117	1166	5266	906	3545	990	512	3723	2386	646	3458	5496	458	4858	579	1815	2213	5961	19	1046	34	171	1829	225	1264	64	47	1357	1435	8323	167	3887	10426	682	1222	761	70	931	136	923	266	3802	1474	791	6703	532	514	471	8321	614	3368	376	2193	220	17	454	22	645	107	2807	338	1156	411	471	7079	0	1	0	2692	516
sq6	16	544	29	265	20	59	3	2643	188	99	3691	2486	305	8087	7457	191	9064	89	431	15	92	50	1201	78	251	13266	481	7620	217	176	5649	87	1148	40	11	32	697	3655	2189	83	2847	272	7069	295	5251	4158	83	2253	32	24	7	660	167	1546	3109	3222	2237	56	2552	101	4046	101	4472	29	252	6	107	98	1	1	2	3808	122
sq7	22	5662	114	3300	191	1216	56	4911	217	29	1698	973	94	5896	13503	128	9251	97	3738	138	792	9	593	3	69	4253	156	4135	66	91	3039	189	4662	29	191	963	516	1575	596	41	778	63	3757	101	3814	3016	45	2469	69	121	117	3772	118	1110	445	1857	172	27	803	85	1559	117	4650	94	2520	13	82	1242	0	3	0	2713	57
sq8	68	79	4400	10	1211	3	26	84	2093	231	51	13	2679	71	212	697	229	7131	473	33	88	33	10	19	588	73	1910	112	1842	719	49	12547	70	65	11036	101	5567	385	4	118	20	368	110	6446	81	107	6099	42	1650	934	600	338	926	1917	9	43	6	270	124	744	139	4505	1748	6810	9033	688	379	713	1	1	0	68	1493
sq9	131	20	2195	350	9493	3037	9572	30	492	622	18	11	1341	25	114	476	64	1360	171	7252	1226	30	4	18	604	17	892	33	441	349	11	4314	229	306	12845	745	928	114	3	173	26	299	21	949	33	14	852	62	1106	819	2347	1723	920	647	30	15	13	121	35	729	79	1147	397	4901	10046	2467	461	8168	1	1	0	19	800
sq10	412	277	2493	1	1	0	2	2338	3114	2603	743	439	7526	2007	1997	2825	2684	3439	44	1	45	337	260	481	3983	1211	7966	1873	1426	2105	695	1050	466	2060	0	8	659	1936	227	246	938	4506	966	4936	570	772	1826	1046	2011	268	16	752	171	541	458	935	230	252	1093	244	2573	62	1334	1	3	4	4202	1	0	0	0	1656	4148
sq11	1181	2	277	0	243	2	24	21	628	2922	266	498	4326	370	153	296	181	1068	63	9	9	186	185	73	3879	194	3989	146	1365	610	48	5350	8	1197	2854	4	4707	902	16	611	251	1092	375	3069	404	84	4069	30	10952	6494	5568	2126	688	993	109	148	17	608	503	1351	445	3127	1078	3849	3185	458	1058	296	0	2	0	43	1247
sq12	55	584	179	399	4233	1001	3076	1522	1150	363	1288	643	947	2966	3478	321	4551	197	678	6331	188	23	466	33	292	1173	604	1285	209	161	617	3196	1906	174	3907	948	2124	1007	256	72	504	167	965	315	2203	1204	336	1367	305	1568	1131	1515	573	1327	208	1064	89	39	424	120	410	533	1388	2053	4351	1152	308	4245	0	2	0	1011	267
sq13	146	622	952	2455	5353	4319	2795	369	465	365	586	331	934	922	1196	205	1469	337	872	2817	1830	51	304	35	298	597	462	840	256	190	353	2680	1628	298	9870	2558	1706	357	120	69	134	112	552	212	884	440	377	987	544	677	948	2598	659	857	85	512	36	33	116	399	418	857	643	3784	3916	1657	351	6413	2	1	0	235	207
sq14	5	4339	89	2988	599	839	61	2660	114	20	537	214	179	3169	5000	140	4800	127	2661	178	193	14	155	19	67	2951	287	3143	95	106	2439	197	2921	17	123	247	681	1035	259	25	212	67	2238	105	1366	1601	39	1638	25	17	22	710	157	1632	71	1202	43	16	385	75	921	130	4168	606	1666	72	74	1102	0	1	0	1670	72
sq15	2685	0	33	0	4	0	2	3	741	3964	2	20	5955	5	12	365	6	526	3	6	2	737	20	186	8851	2	4402	9	687	418	2	415	1	2160	7	2	5404	462	5	3087	363	4473	21	3430	11	2	1194	2	149	156	159	16	285	181	66	17	17	1922	484	1824	277	2433	582	211	148	6	2997	1	1	0	0	4	2200
sq16	17	76	2	3	3	20	1	1496	82	92	2447	1454	216	4275	3514	102	4262	25	28	3	4	52	1021	48	133	4295	155	2478	40	55	2378	111	2541	61	11	108	463	1421	818	125	1298	53	2280	69	3276	1559	94	3605	174	118	29	3322	184	1367	716	2710	511	25	866	86	1430	37	1437	9	74	2	127	67	2	1	0	2012	59
sq17	40	347	1484	680	5448	1647	2570	100	298	165	28	29	791	76	257	245	168	767	524	3202	1242	6	25	12	405	59	520	94	212	203	63	3504	1593	92	4713	644	534	132	11	30	22	175	69	596	35	51	692	328	422	142	246	675	269	504	13	38	1	30	36	118	43	250	642	2546	10531	1582	209	7619	1	0	0	34	438
sq18	51	104	175	1	1	1	1	1565	564	160	447	196	1415	2910	3827	1093	3333	823	25	0	19	63	167	129	1065	2975	2918	3731	991	1908	2740	161	150	145	1	1	247	1662	340	28	472	1042	1973	1885	1294	2138	96	327	23	5	1	29	79	545	293	629	160	30	713	42	2273	74	2355	1	2	0	932	0	0	3	0	1879	1230
sq19	29	29	1797	93	6065	755	4243	57	929	118	34	7	893	74	171	441	220	1257	82	3169	98	3	5	7	100	16	403	60	260	157	22	1818	107	42	6329	88	934	80	7	90	13	65	51	486	44	35	412	42	251	266	1142	214	577	394	8	48	4	66	12	809	73	1818	427	5229	5054	2170	208	4054	2	0	0	37	692
sq20	286	2	22	0	2	2	3	465	586	600	832	362	2170	1680	1887	1055	840	457	8	6	5	254	272	260	1989	3538	2307	2498	728	796	1031	308	109	561	8	2	2070	1379	826	215	877	1110	2361	2355	1429	655	336	380	396	140	135	427	138	715	1427	643	684	178	1104	665	1505	784	2368	15	77	1	1880	1	1	1	0	647	1869
sq21	31	31	2	3	1	2	1	578	27	71	2200	1245	223	3939	2046	50	2574	13	19	0	0	90	887	112	244	7671	233	2936	42	51	2426	31	398	75	7	21	280	1685	1203	92	2203	169	3173	48	2382	1157	30	933	50	24	7	665	39	426	2257	2091	1660	32	1413	50	1981	8	875	4	28	0	88	23	1	0	0	1068	55
sq22	15	2433	144	869	191	665	56	1957	79	99	1925	1403	106	2024	2147	51	2169	56	954	135	250	17	810	9	44	1254	52	558	20	16	403	259	4616	43	835	2980	74	343	443	28	602	36	805	37	2081	593	191	3497	146	82	62	3073	127	857	300	1249	214	4	196	9	146	19	792	534	1811	304	73	2981	0	2	0	1093	24
sq23	51	31	3311	29	3260	137	801	25	576	155	9	5	359	11	71	351	62	1844	127	662	16	58	1	31	209	7	379	11	287	155	1	952	23	80	5093	67	709	45	9	454	11	127	3	807	21	12	432	19	768	2479	9243	352	331	98	15	15	6	300	10	1328	47	5675	198	3067	1204	3981	188	854	1	0	0	12	396
sq24	122	302	385	0	0	1	4	2552	848	544	1558	828	1748	4173	3673	867	2691	513	13	0	5	141	564	381	1091	3202	856	1161	96	212	233	255	250	566	6	8	50	832	819	70	926	1107	2061	593	2481	482	256	779	381	35	1	377	23	172	905	1337	262	25	941	26	918	11	322	1	0	1	1661	1	0	0	0	2451	1563
sq25	62	623	4916	60	563	22	40	204	618	584	149	61	1208	180	292	520	562	2428	242	25	34	18	47	27	199	54	487	79	252	224	41	7630	2108	241	4028	513	328	120	17	39	75	131	44	446	104	113	1785	422	2860	761	411	3160	301	775	32	229	21	21	59	29	101	114	765	296	1172	18	495	1292	0	0	0	110	709
