input	filtered	denoised	merged	nochim	tabled
10	173274	145851	144952	123919	121957	121926
11	141169	122286	121459	104366	102871	102869
12	108207	92382	91787	60624	59962	59949
13	92343	75232	73671	45412	45171	45161
14	154220	132144	131140	127495	125079	125072
15	176095	145183	143562	95519	94821	94788
16	322338	267688	265748	254671	245801	245801
17	87928	72276	71101	38787	38682	38660
18	379401	327181	325242	314114	304137	304131
19	148818	122855	121598	75254	74916	74848
1	71203	61569	60525	57412	55913	55913
20	98129	85252	84494	81047	79720	79710
21	103829	89738	89124	73363	72484	72476
22	75407	65913	65288	62983	62291	62288
23	64624	52095	50269	29524	29227	29222
24	143062	121205	119338	84784	84200	84158
25	363103	316155	314103	302699	292262	292257
26	172075	144629	142740	98436	97711	97652
27	216524	185486	183829	174944	169755	169755
28	71409	59263	57995	33574	33390	33362
29	177664	149482	148069	141305	136698	136697
2	83761	67585	65977	35813	35656	35636
30	222696	189280	187893	149290	148242	148008
31	182294	158533	157343	149701	147198	147198
32	209517	180863	179812	153918	151843	151828
33	100666	87788	87260	83938	82800	82795
34	175486	139152	136763	76557	76036	75747
35	151611	127518	125447	111505	107760	107757
36	108186	89230	87788	59541	59243	59216
37	204141	172954	171446	164601	160284	160280
38	147244	120966	119495	89636	89028	89002
39	137098	118286	117014	112680	109608	109608
3	153650	133939	132574	126414	122846	122845
40	93819	78309	76964	52485	52285	52259
41	147260	126142	125032	120018	118181	118180
42	162419	130986	129742	75102	74928	74774
43	93544	79855	79111	62789	62663	62602
44	237414	207270	205943	194517	191595	191580
45	136160	115076	112813	98133	93158	93152
46	102505	82429	81134	30494	30400	30327
47	84972	72632	71369	66016	64580	64578
48	99325	81534	80358	66135	65782	65753
49	123934	106716	105374	98787	96946	96946
4	109903	92759	91121	52976	52818	52796
50	117607	100657	99576	85227	84760	84717
51	187551	162554	161011	152643	149694	149688
52	104480	89602	88880	77947	77092	77040
53	233238	204824	203899	198241	195430	195416
54	86817	74400	73890	39010	38940	38805
55	226624	198587	197391	190192	184429	184426
56	140559	122905	121859	115293	111998	111998
57	94934	79362	78154	49718	49592	49579
58	129009	112218	111366	107441	104714	104714
59	109013	91893	91185	66580	66372	66309
5	114076	99411	98925	96247	94561	94561
60	139466	118819	117682	113228	110563	110563
6	127079	106412	106280	104546	102770	102747
7	141139	117380	116248	110364	107510	107509
8	89309	70135	69098	51403	50925	50652
9	20223	17148	17147	17116	16843	16843
